Ticker,Name,Quantity,Price (USD),Market Value (USD),% of Portfolio
NVDA,NVIDIA Corp,0.491323,203.32,99.9,18.25%
IWDA,iShares Core MSCI World UCITS ETF,0.428629,142.82,61.22,11.18%
MSFT,Microsoft Corp,0.139998,399.32,55.9,10.21%
CRC,California Resources Corp,1,55.21,55.21,10.08%
GOOGL,Alphabet Inc. (Class A),0.108624,351.99,38.23,6.98%
VRDN,"Viridian Therapeutics, Inc.",1.692801,19.74,33.42,6.10%
IONQ,"IonQ, Inc.",0.957193,34.24,32.77,5.99%
VUAA,Vanguard S&P 500 UCITS ETF (Acc),0.210181,144.3,30.33,5.54%
APLD,Applied Digital Corp,1.084604,27.85,30.21,5.52%
PLTR,Palantir Technologies Inc.,0.135272,134.85,18.24,3.33%
AMZN,"Amazon.com, Inc.",0.069491,249.99,17.37,3.17%
PENG,"Penguin Solutions, Inc.",0.30501,54.47,16.61,3.03%
SEC0,iShares MSCI Global Semiconductors UCITS ETF,0.711762,21.72,15.46,2.82%
ARM,Arm Holdings plc,0.044092,277.01,12.21,2.23%
STX,Seagate Technology Holdings plc,0.013725,809.1,11.1,2.03%
MELI,"MercadoLibre, Inc.",0.005557,1833,10.19,1.86%
NAMM,Namib Minerals,4.910714,1.56,7.66,1.40%
AEMD,"Aethlon Medical, Inc.",0.629127,2.34,1.47,0.27%
TOTAL,,,,547.51,100.00%